sample_id,220090_at,226067_at,205900_at,230835_at,226147_s_at,204623_at,223720_at,229659_s_at,202018_s_at,212768_s_at,213432_at,207802_at,205979_at,224328_s_at,206642_at,1560712_at,220267_at,217022_s_at,220620_at,213240_s_at,group
GSM1551389,13.75090305,13.31318315,13.91000611,14.39663853,12.04831256,10.69816535,12.17279657,12.31483035,12.37036434,15.42036784,10.67931526,12.37869237,9.779603483,12.84294754,9.463150127,12.73141895,12.88581657,13.83277438,9.782177553,14.99180975,CIN3
GSM1551390,8.58743628,13.59108546,1.773639504,2.31001526,13.25510999,12.53120922,2.938788837,13.2709054,11.71811318,13.14181308,13.032384,3.35436714,12.86410104,3.882399278,2.870453258,7.261005466,5.219800485,13.60466659,1.743593204,14.56018263,CIN3
GSM1551391,13.85638809,13.52586055,11.76331769,11.88518491,13.0898329,14.33755174,9.774041548,13.09589663,12.18119061,16.41867277,11.62604365,11.80002452,12.76838376,3.860081046,6.967285058,10.76379529,14.93221943,13.61742072,2.790829905,14.2151235,CIN3
GSM1551392,11.92862787,10.22492899,9.100626093,9.616005902,11.90843729,10.11771035,6.88248484,11.22910443,12.60340764,15.93439963,9.402584032,9.818396426,10.44801158,6.119162033,2.924459534,10.13005426,14.53723242,14.91011161,1.865242366,12.54811588,CIN3
GSM1551393,6.378717293,13.67881601,1.668671061,2.312706587,13.59357168,12.6769308,2.280735889,13.53198469,13.08838331,13.44746708,11.76259832,10.3943496,12.61194961,3.025745633,2.844904653,3.308897211,13.31767196,15.76961681,1.739642416,11.76125941,CIN3
GSM1551394,4.808633423,1.634765681,14.25053729,15.14067886,2.080422499,1.833931277,11.8937173,3.218097135,2.302951406,4.305268347,2.052765854,9.266545418,2.682391229,15.19447537,11.11554248,5.589068539,9.54027306,10.08877839,9.990935512,2.840443045,CIN3
GSM1551395,1.524770467,1.663287985,2.043378315,2.238983004,2.128452531,2.372388489,2.318422906,3.087439603,2.295878353,5.627732986,2.093209637,3.465330073,2.714030693,3.477194892,2.953399402,2.694338562,10.38952644,1.567993708,1.773916463,5.882704853,CIN3
GSM1551396,13.97746135,14.81150983,9.797169453,13.66476855,14.20680108,13.30610889,10.61093568,14.6991027,15.13929267,13.44552258,13.85784832,7.469802201,13.51658238,5.153967642,3.191645006,12.23640377,10.24284118,14.78439287,9.289407914,15.01233095,CIN3
GSM1551397,7.345790598,13.3960349,9.074125266,6.811143215,12.93085063,11.13508459,2.296065873,12.02828161,13.71630742,12.50596024,11.6672449,7.463199609,9.747356027,3.080462485,2.921720616,3.393495521,10.22871898,15.69132483,1.768310706,14.12783723,CIN3
GSM1551398,1.552652423,1.657538113,1.692238456,2.355038672,8.764139039,1.757960852,2.441733128,8.952772822,2.317511098,4.045902987,2.093364424,8.978549864,8.964954472,2.998958924,2.975707955,6.916544825,6.28487828,3.099344678,1.795218191,4.841237354,CIN3
